Q1_What_is_your_age_group,Q2_What_is_your_occupation,Q3_Are_you_aware_that_AI_is_used_to_personalize_the_ads_you_see_online,Q4__How_often_do_you_interact_with_online_advertisements_personalized_or_general,Q5_Which_platforms_do_you_see_personalized_ads_on_the_most_Select_all_that_apply,Q6_In_the_past_how_much_have_you_spent_on_purchases_influenced_by_personalized_ads,Q7_How_concerned_are_you_about_the_amount_of_personal_data_companies_collect_to_show_personalized_ads,Q8_Which_of_the_following_data_do_you_think_is_most_often_used_by_companies_to_personalize_ads_Select_all_that_apply,Q9_When_encountering_personalized_ads_do_you_feel_youve_given_sufficient_consent_for_your_data_to_be_used,Q10_What_level_of_transparency_do_you_expect_from_companies_that_use_AI_for_personalized_advertising,Q11_To_what_extent_do_you_agree_with_the_following_statement_Personalized_ads_can_manipulate_my_purchasing_decisions_by_exploiting_my_preferences_or_emotions,Q12_Do_you_think_personalized_ads_are_more_persuasive_than_traditional_ads,Q13_Have_you_ever_felt_manipulated_by_personalized_ads_into_making_purchases_you_didnt_intend_to,Q14_Have_you_noticed_that_personalized_ads_are_biased_toward_targeting_specific_demographic_groups,Q15_Do_you_think_incorporating_bias_detection_mechanisms_in_AI_systems_can_improve_fairness_in_personalized_ads,Q16_How_often_do_you_use_privacyfocused_tools_such_as_ad_blockers_or_VPNs_to_limit_personalized_ads,Q17_Have_you_noticed_that_ads_for_products_or_services_you_searched_for_follow_you_across_different_platforms_eg_from_Google_to_Facebook,Q18_How_much_do_you_feel_that_personalized_ads_influence_your_emotions_eg_excitement_urgency_when_deciding_on_purchases,Q19_Do_you_feel_that_you_have_adequate_control_over_the_types_of_personalized_ads_you_see,Q20_Do_you_believe_that_personalized_ads_reinforce_existing_stereotypes
18-24,Employed,Yes,Often,Instagram,₹500 - ₹2000,4,"Browsing history, Purchase history, Location data, Social media activity, Demographic information",Yes,"Some transparency, but only for sensitive data",4,"No, they are about the same",Maybe,Yes,Not Sure,Rarely,"Yes, Frequently",4,Occasionally,Occasionally
18-24,Student,Yes,Never,"Google, Instagram, Youtube",0,1,Browsing history,Yes,"Some transparency, but only for sensitive data",1,"No, they are about the same",No,No,No,Rarely,Rarely,1,Occasionally,Occasionally
18-24,Student,Yes,Sometimes,Instagram,₹2000 - ₹5000,3,"Browsing history, Social media activity, Demographic information",Not Sure,"Some transparency, but only for sensitive data",3,"Yes, they influence my decisions more",No,Not Sure,Not Sure,Often,"Yes, Frequently",3,"Yes, frequently",Never
18-24,Unemployed,Yes,Often,"Google, Facebook, Instagram, Youtube, All",₹2000 - ₹5000,3,"Browsing history, Purchase history, Location data, Social media activity, Demographic information",No,"Some transparency, but only for sensitive data",3,"Yes, they influence my decisions more",Yes,Yes,Yes,Always,Occasionally,3,Occasionally,Occasionally
35-44,Employed,Yes,Sometimes,Youtube,₹500 - ₹2000,5,"Browsing history, Purchase history, Location data, Social media activity",Not Sure,Full transparency about how data is collected and used,4,"Yes, they influence my decisions more",Yes,Yes,Not Sure,Rarely,"Yes, Frequently",2,Rarely,Occasionally
25-34,Employed,Yes,Rarely,Facebook,0,5,"Browsing history, Purchase history, Location data, Social media activity, Demographic information",No,Full transparency about how data is collected and used,5,"Yes, they influence my decisions more",Maybe,Yes,Yes,Never,"Yes, Frequently",4,Rarely,"Yes, frequently"
35-44,Employed,Yes,Rarely,"Facebook, Instagram, Youtube",Less than ₹500,5,"Browsing history, Purchase history, Location data, Social media activity",No,Full transparency about how data is collected and used,2,"No, they are about the same",No,Not Sure,Not Sure,Sometimes,"Yes, Frequently",5,Rarely,"Yes, frequently"
35-44,Employed,Yes,Rarely,"Facebook, Instagram, Youtube",Less than ₹500,5,"Browsing history, Purchase history, Location data, Social media activity",No,Full transparency about how data is collected and used,2,"No, they are about the same",No,Not Sure,Not Sure,Sometimes,"Yes, Frequently",5,Rarely,"Yes, frequently"
35-44,Employed,Yes,Rarely,"Facebook, Instagram, Youtube",Less than ₹500,5,"Browsing history, Purchase history, Location data, Social media activity",No,Full transparency about how data is collected and used,2,"No, they are about the same",No,Not Sure,Not Sure,Sometimes,"Yes, Frequently",5,Rarely,"Yes, frequently"
45+,Employed,Not Sure,Sometimes,Instagram,₹2000 - ₹5000,1,Purchase history,Not Sure,Full transparency about how data is collected and used,4,"Yes, they influence my decisions more",No,Yes,Yes,Sometimes,"Yes, Frequently",3,Occasionally,Occasionally
18-24,Student,Yes,Often,"Instagram, Youtube",0,2,"Browsing history, Social media activity",Yes,Full transparency about how data is collected and used,1,"Yes, they influence my decisions more",No,Yes,Yes,Sometimes,Rarely,3,"Yes, frequently",Rarely
18-24,Student,Yes,Often,"Google, Instagram",0,3,"Browsing history, Social media activity, Demographic information",Not Sure,"Some transparency, but only for sensitive data",4,"Yes, they influence my decisions more",No,Yes,No,Sometimes,"Yes, Frequently",1,Occasionally,Occasionally
18-24,Student,Yes,Often,Instagram,₹500 - ₹2000,4,"Browsing history, Purchase history, Location data, Social media activity, Demographic information",No,"Some transparency, but only for sensitive data",5,"Yes, they influence my decisions more",Yes,Yes,Yes,Sometimes,"Yes, Frequently",4,Rarely,Occasionally
